Tweet,Info
Jugando asi es imposible que ganemos un partido…,Tristeza
"Que venga Arthur me tiene más emocionado que cualquier otro fichaje que llegue, más que Griezmann. Es perfecto para nuestro juego más las ganas que tiene de jugar ya en el Barça 🔵🔴",Felicidad
Me ha gustado un vídeo de @YouTube (https://t.co/f52V3WNuX5 - Noche de emociones en la remontada histórica del Barça).,Felicidad
"#Deportes ➡️ Hace 17 años, Messi por primera vez se puso la del Barça: El club blaugrana publicó un video muy especial para celebrar los primeros pasos de Lionel en la institución catalana Hace 17 años, Lionel Messi comenzaba a hacer de… https://t.co/xFHPdToMsd ⬅️ #Entérate https://t.co/kXksLJEK3i",Felicidad
"Desde la dirección hasta los actores el vídeo de The less i know the better está hecho por catalanes. Visca Barça, joder.",Felicidad
"@APUESTASMLS @gran_culon @Zona_Blaugrana Entonces..esto,es por el Barça..no esta hablando del Alibaba Bernabéu..no? Aunque ponga Madrid..esta hablando del FCB!?🤔
😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂jajajajaja jajajajaja https://t.co/YOSyKSI28g",Felicidad
Me ha gustado un vídeo de @YouTube (https://t.co/uwZhvI4GtG - EL DIRECTO EN EL QUE DjMaRiiO USÓ LA CAMISETA DEL BARÇA).,Felicidad
"EL DOMINGO VIAJAMOS para ver a nuestro @Atleti 

Salimos a las 12, ¿te quieres venir?

Cuenca -&gt; Madrid y plaza en el @Metropolitano 

¡Escríbenos hoy o mañana para apuntarte!

Mañana también vamos pero... ¡EL AUTOBÚS YA ESTÁ LLENO!

#AtletiLokomotiv",Felicidad
@pblmrcn Jajajaja y eso que soy del Barça... pero 👌🏼,Felicidad
"¡OFICIAL!

#Juan #Cazares 🇪🇨 renueva con el #Atlético #Mineiro 🇧🇷 #FichajesYa 👁‍🗨

Mira la noticia completa aquí 👇
https://t.co/cGOGXtfchD",Felicidad
"@jorgeshrug El barça siempre ha fichado caro y batido records (Maradona, Ronaldo etc) esto es normal cuando hay que revolucionar una plantilla. Lo que yo critico es haber destrozado la cantera y los Digne por 20, Gomes por 50 etc.",Tristeza
"No soy Madridista, le voy al Barça (ojo y no es que soy el maaaas futbolero), pero entre meses de análisis y mi trabajo nuevo (que tiene una sección heavy de deportes) llegué a la conclusión (muy a mi pesar) de que si, Cristiano Ronaldo es el mejor jugador del mundo.",Felicidad
Mucho Barça y femenino. Como me gusta aprender cosas nuevas. Moltes gràcies.🤩 Entrevista a Jordi Mestre.👉🏻 https://t.co/BM1nBcf9wM https://t.co/MaLoOhoSGZ,Felicidad
@antimadridiota @_Moroncito_ Solo te falta decir que el Barça mereció ganar la Champions 😂,Felicidad
Roban en la tienda oficial del @Atleti en el Metropolitano https://t.co/iwPXPA39LP vía @hoyextremadura,Tristeza
@FCBarcelona El mejor del mundo👌😎,Felicidad
"Los cuartos de final de esta champions van a estar bellos, tengo 4 opcionados al título Barça, Madrid, Bayern y City, pero ojo con Tottenham y Liverpool",Felicidad
#Atleti #colchonero Estrellan un coche en la tienda del Wanda y la desvalijan https://t.co/e0j3jNEMAu,Tristeza
"@SeleccionArg 
#JavierMascherano sobre #Messi en @Sportia:
""Es el jugador más cerca de la excelencia ha estado en este deporte""
@TyCSports https://t.co/MqUNMaE6xJ",Felicidad
@davogarsa @gabrielviveros les contaras algún día a tus nietos que viviste la era de este fenómeno! #messi https://t.co/dMNTIeu0DI,Felicidad
"Qué maravilla que este chico tocado por Dios, juegue en el Barça! Toda la historia que ha hecho Leo y toda la que le falta! EL MEJOR DE LA HISTORIA! https://t.co/WwnQZBVNvX",Felicidad
@putotrolaso @swivelFCB @LluisMascaro @sport Porqee el Barça regaló la liga en Septiembre y pudisteis gestionar la ventaja sin agobios XD,Felicidad
"M. Bartra debió quedarse en el Barcelona, una promesa junto a Piqué en la defensa, si bien es cierto la defensa del Barcelona anda muy bien, él se jugaba todo en cada partido. @MarcBartra @FCBarcelona @FCBarcelona_es es una pena que esté de equipo en equipo, ahora en el Betis😐",Tristeza
"@CristoS092 Lo bueno es q fue expulsado, ese ejemplo a tus chavales les vendra bien. Accion-reaccion. Que no vean partidos del Barça, q con Luis Suarez no ocurre lo mismo.",Felicidad
"@NatachaPena Siempre se ha manejado como un técnico de media tabla y un poquito más, le quedan grande los equipos élites. Y que decir del PSG, vaya papelon, 400 millones para ser equipo candidato y quedarse en unos 4tos de final. Ay Neyyyyy pa que te fuiste del barça. 🤦🏻‍♂️",Tristeza
@_SentimentCule Lamentable.Debemos estar orgullosos de nuestro barca que suda la camiseta toda la temporada en todas las competiciones.Grandes.,Felicidad
Este equipo esta imparable!!,Felicidad
@jotajordi13 Si..pero la liga y la copa os comeis un mojon como una catedral y cuando os coja el barça...set en blanco😂😂😂😂😂,Felicidad
"Me sorprende la absurdez del fanatismo que hay en el mundo del fútbol. Es ver a Tomás Roncero llorar por gilipolleces, chillar cuando su querido Cristiano hace gilipolleces o cuando el Barça pierde (pocas veces se ha visto eso) y me entran ganas de ver aún menos el fútbol xd.",Tristeza
@SEUR @LNFS89 Si jugaras en el cielo moriría por verte! #ForçaBarça,Felicidad
"@Atletico1012 @TheRealGansuuss En dias como hoy te das cuenta porque el R. Madrid es el Rey de Europa, mientras que el Atleti y su afición no pasa de ser un equipo mediocre y segundón.",Felicidad
"Neymar se fue al PSG en busca de “títulos”, sin valorar grandeza del Barça y de su afición. Faltó al respeto y jugó con las ilusiones de la gente y ahora, 6 meses después de su marcha, está en el lugar que merece. El tiempo siempre pone a cada uno en su lugar💰 https://t.co/teeLdFcMat",Tristeza
"@ALEX15vs @FCBarcelona_es @FCBarcelona Que noooo, así nos saca unas risas 😅😅😅",Felicidad
¡Me voy a ver un partidazo! ¡Participa ahora con #FútbolVipAppMiVodafone y gana 2 entradas VIP para el derbi entre el Real Madrid y el Atleti!  https://t.co/2kfjgOQz6J,Felicidad
