Tweet,Info
"NO ESTOY PSICOLOGICAMENTE PREPARADO PARA QUE EL BARÇA DEJE ARAFUE AL CHELSEA. 😔💙
#UCL",Negativo
@peperezp @sport MESSI tira del carro del Barça y cuando se vaya veremos a ver... al igual que cuando se vaya CR del Madrid ... el día que se retiren el fútbol cambia por completo,Positivo
"El Barça fue a por Verratti y a por di Maria. Después de lo de ayer, menos mal que no cerraron nada",Positivo
"Esto del fútbol es así, te suben y bajan a la vez, según sople el viento y de 0 a a100 de un cohete espacial, decir fiasco a Emery, por perder contra dos equipitos...como Barça y Madrid, con el primero, la vuelta.....y contra el RM no tenía a su máxima estrella..@amaliomoratalla",Negativo
"@saracsanchezp @victoramaya @infocracia Totalmente de acuerdo contigo. Cual sociedad civil? El mismo grupo de borregos apoyando a líderes politicos que han entregado el pais. Como decian mis abuelos""la misma barca atravesando diferentes ríos""",Negativo
@AS_Manolete No me había enterado de que el  Barça ya está clasificado. Gracias por la información. ¿Cómo quedó el partido de vuelta?,Positivo
"Con este Atleti, este Sevilla y la competitividad de equipos como Eibar, Girona o Getafe, Emery no acaba ni octavo.",Negativo
"Pavor tengo que ahora los del #PSG miren hacia el #Atlético y vengan a por #Simeone, #Oblak y #Griezmann. Tienen tanto dinero que son capaces de cuambiar cualquier opinión de seguir siendo #cholistas.",Negativo
@moscu_toronto Pues cuando era pequeñito era del Barça... Luego dejó de interesarme... 😁,Positivo
ULTIMA HORA: EL PRESIDENTE DEL PSG LE OFRECE AL BARÇA REGALAR A NEYMAR MAS LA TORRE EIFFIEL POR MESSI,Positivo
"Me pregunto pq en @JugoneslaSexta, @jpedrerol no habla de q el PSG salió sin tensión , sin ganas etc...y dicen q fue el Madrid el q no los dejó,en cambio, el Domingo critican al Atlético por lo mismo q hizo el PSG pero no alaban al Barça por no dejarles jugar",Negativo
"La victoria de ayer a la prensa tampoco le vale. El PSG es una banda. Pues lo añadimos a la lista: Juve, Atleti, Bayern y PSG",Negativo
"@Blogcelonista Definiciones de la liga según quien la gana.
1- La gana el Barça: el Madrid tira en enero una competición menor que no interesa.
2- La gana el Madrid: la mejor competición, la más dura, la de la regularidad, la gana el mejor equipo del mundo.",Negativo
@VictorJ_13 Esa foto la subieron cuando el Barça perdió la Supercopa de España 🙄 Ahora calladitos como putas 😂🤣,Negativo
"@emedemamon los que se clasifiquen ya son los mejores, Barça, Juventus y Bayern ya han eliminado al Madrid alguna vez.",Positivo
La mejor decisión del #Barça fue dejar salir a #Alvés al #PSG. Partido lamentable y lo que parece claro es que su siguiente paso será #China para sacarle el máximo rendimiento económico a la recta final.,Negativo
"Deportes Cuatro: SOIS UNA MIERDA

Están tachando de vergonzoso hasta las bengalas encendidas fuera del estadio y cánticos vs Madrid.

Cuando Atleti o Madrid hacen los mismos recibimientos no dicen nada, LO CONTRARIO.

Y esos cánticos se hacen en todos los campos de España.",Negativo
"Félix Brych ayer en el partido de champions #PSGRM acudió a su cita para favorecer al RM. Tercera expulsión en 3 partidos de equipos que juegan contra el RM. Vs Atleti Arda Turan, Vs Totenham a P. Crouch y ayer Vs PSG a M. Verratti.
Nada más que decir señorías.
#UCL",Negativo
"Para ser del Barça @jpedrerol cuando éste gana nunca le dedicas mas de 5min en tu programa de ""periodismo deportivo"".. Ah! pero cuando pierde te frotas las manos para poner a parir a Messi #JUGONES",Negativo
Me gustaría decirle a la @FCF_CAT que el partido de la Super Copa catalana debería ser los dos equipos más fuertes. #FCBarcelona y #Girona. El español no pinta nada en este partido. #SupercopaCAT,Positivo
@joosete10 @DjMaRiiO_90 @LordbzB Yo igual 5 semestre de ingeniería :v 100% del barca y de messi jajajajaja no le ha dado ni a una,Positivo
@elchiringuitotv @JugoneslaSexta Le dare merito al madrid el dia q vosotros reconoscais q el Barça tambien tiene meritos por lo q hace.,Negativo
Robo de 180 minutos cuando busca la palabra robo su sinónimo es el # Barca https://t.co/9oPnpjbObH,Negativo
"Valverde es responsable de este Barça fiable atrás, que no se rompe en 2 en los partidos, que juega junto y compacto... Pero también es verdad que el “cuadrado-eje defensivo” está a un grandísimo nivel individual: Piqué, Umtiti, Busquets y Rakitic",Positivo
@neymarjr Te has dado cuenta de que hace falta que te vayas estes tu para competir vente a la liga española al equipo que mas te guste te querran y si irte del barsa era por ser el mejor era lo que el barça tenia en mente cuando terminara la era messi seria la neymar igual que pasocondinho,Negativo
"Este es nivel que tiene la gente. El Madrid nunca hace nada bien siempre son los rivales los malos jajajaja. Juve, Atleti, City, PSG... https://t.co/eeOEdbH1bg",Negativo
"¡DE PIE DAMAS Y CABALLEROS! 💃🕴👏
#HOY se cumplen 17 años del debut oficial de Leo #Messi con el Infantil ""B"" del... https://t.co/kytx0qL8mP",Positivo
"@LuisOmarTapia Algunos lo ponen como el mejor DT de la historia y para mí está lejos. Que ""invento"" el Tiki Taka, falso.
El Barça se le cayó al final.
Fracaso en Munich. (Ganar liga y Copa es normal)
Nada con el City en la 1a. temporada (Conte campeón). 
Medianito el Pep...",Negativo
"@Giovannifxf @pilotaipunt Qué vergüenza,solo medio metro tioooo,somos el Barça y podemos poner la varrera donde queramos tioo",Negativo
